STATE_NAME,ST_ABBREV,REGION,ACSTOTPOP,D_PNPL_2,B_PNPL_D2,P_PNPL_D2,D_PTSDF_2,B_PTSDF_D2,P_PTSDF_D2,D_PWDIS_2,B_PWDIS_D2,P_PWDIS_D2,DSLPM,B_DSLPM,P_DSLPM,PRE1960PCT,PNPL,B_PNPL,P_PNPL,PTSDF,B_PTSDF,P_PTSDF,PWDIS,B_PWDIS,P_PWDIS,MINORPCT,B_MINORPCT,P_MINORPCT,LOWINCPCT,B_LWINCPCT,P_LWINCPCT,T_PNPL,T_PNPL_D2,T_PTSDF,T_PTSDF_D2,T_PWDIS_D2,Shape_Length,Shape_Area
North Carolina,NC,4,1202,-2.041409233,5,47,-7.229586766,5,44,0,8,70,0.162416284,1,3,0.24120603,0.019419322,3,22,0.06877292,3,29,0,4,39,0.038269551,1,6,0.503327787,8,73,0.019 facilities/km distance (22%ile),47%ile,0.069 facilities/km distance (29%ile),44%ile,70%ile,62861.8664,87204134.17
North Carolina,NC,4,517,-2.736520657,5,45,-7.263971417,5,44,0,8,70,0.162416284,1,3,0.264367816,0.02266873,3,28,0.060173127,3,25,0,4,39,0,1,1,0.249516441,3,29,0.023 facilities/km distance (28%ile),45%ile,0.06 facilities/km distance (25%ile),44%ile,70%ile,75187.02849,154190683.4
North Carolina,NC,4,687,-1.063332894,6,51,-2.228982026,6,51,0,8,70,0.216281969,1,9,0.197580645,0.023055175,3,29,0.048328769,2,19,0,4,39,0.056768559,2,10,0.525473071,8,76,0.023 facilities/km distance (29%ile),51%ile,0.048 facilities/km distance (19%ile),51%ile,70%ile,39664.83923,53053849.23
North Carolina,NC,4,982,-2.278574082,5,46,-14.25994483,4,37,0,8,70,0.216281969,1,9,0.266159696,0.019847088,3,23,0.124208551,5,42,0,4,39,0.021384929,1,3,0.461303462,7,66,0.02 facilities/km distance (23%ile),46%ile,0.12 facilities/km distance (42%ile),37%ile,70%ile,34460.191,46344399.53
North Carolina,NC,4,1623,-5.910263034,4,35,-360.9031869,1,5,0,8,70,0.216281969,1,9,0.120567376,0.017059598,2,17,1.041724097,8,79,0,4,39,0.003696858,1,1,0.285890327,4,35,0.017 facilities/km distance (17%ile),35%ile,1 facilities/km distance (79%ile),5%ile,70%ile,54654.0883,91469847.24
North Carolina,NC,4,752,-2.980572374,5,44,-61.10506925,3,21,0,8,70,0.216281969,1,9,0.364485981,0.019179039,3,22,0.39319177,7,63,0,4,39,0.013297872,1,2,0.289893617,4,35,0.019 facilities/km distance (22%ile),44%ile,0.39 facilities/km distance (63%ile),21%ile,70%ile,27741.59335,22935789.73
North Carolina,NC,4,563,-0.151432908,6,54,-5.934029544,5,45,0,8,70,0.230245287,2,11,0.113207547,0.014849861,2,12,0.581904665,7,69,0,4,39,0.223801066,4,39,0.456483126,7,65,0.015 facilities/km distance (12%ile),54%ile,0.58 facilities/km distance (69%ile),45%ile,70%ile,22282.55813,17764511.68
North Carolina,NC,4,1239,-4.583143799,4,38,-10.39940193,5,40,0,8,70,0.230245287,2,11,0.229126214,0.020563463,3,24,0.046659613,2,18,0,4,39,0.02582728,1,4,0.330912026,5,43,0.021 facilities/km distance (24%ile),38%ile,0.047 facilities/km distance (18%ile),40%ile,70%ile,40748.84703,53900319.01
North Carolina,NC,4,1269,-2.733374112,5,45,-6.653296025,5,44,0,8,70,0.230245287,2,11,0.187279152,0.01895991,3,21,0.046150249,2,18,0,4,39,0.009456265,1,1,0.479841897,7,69,0.019 facilities/km distance (21%ile),45%ile,0.046 facilities/km distance (18%ile),44%ile,70%ile,48292.78308,98228696.63
North Carolina,NC,4,2024,-4.457819022,4,38,-27.74303133,4,30,-0.000343778,3,27,0.230245287,2,11,0.083435583,0.018261649,3,20,0.113650533,5,40,1.41E-06,5,47,0.081027668,2,14,0.394268775,6,54,0.018 facilities/km distance (20%ile),38%ile,0.11 facilities/km distance (40%ile),30%ile,27%ile,34130.50125,60683714.49
North Carolina,NC,4,2238,-5.973005511,4,34,-249.9337613,1,7,-0.007510083,3,22,0.25163737,2,14,0.123499142,0.019760182,3,23,0.826842812,8,75,2.48E-05,6,54,0.084003575,2,15,0.362377122,5,48,0.02 facilities/km distance (23%ile),34%ile,0.83 facilities/km distance (75%ile),7%ile,22%ile,39382.84451,59732094.21
North Carolina,NC,4,1675,-6.07580265,4,34,-79.10712404,2,18,-0.036325095,2,19,0.25163737,2,14,0.122285714,0.022620317,3,28,0.294517177,6,58,0.000135239,7,62,0.051343284,1,8,0.344451183,5,46,0.023 facilities/km distance (28%ile),34%ile,0.29 facilities/km distance (58%ile),18%ile,19%ile,22075.44371,21356953.42
North Carolina,NC,4,1921,-9.763652377,3,27,-259.3653519,1,7,-3.143215405,1,5,0.291797043,3,21,0,0.020910103,3,25,0.555463876,7,68,0.006731595,9,86,0.153045289,3,26,0.077327722,1,5,0.021 facilities/km distance (25%ile),27%ile,0.56 facilities/km distance (68%ile),7%ile,5%ile,21257.70863,15752088.03
North Carolina,NC,4,2260,-16.92182086,2,19,-192.6675981,1,9,-1.149470452,1,7,0.291797043,3,21,0.045728039,0.026249363,4,34,0.298868652,6,58,0.001783075,8,79,0.079646018,2,14,0.066371681,1,3,0.026 facilities/km distance (34%ile),19%ile,0.3 facilities/km distance (58%ile),9%ile,7%ile,22807.70873,22319894.95
